+0.020 +9.90953840e-01 +5.95840388e+00 +7.96622446e+00 +1.49088828e+01 +1.98321376e+01 +7.57778593e+01 +4.97564172e+00 +6.97780850e+00 +1.39370621e+01 +1.89062673e+01 +1.94459786e+00 +6.92116906e+00 +8.94347523e+00 +1.58540032e+01
+0.021 +9.90033551e-01 +5.95417126e+00 +7.96277749e+00 +1.48996326e+01 +1.98153582e+01 +7.57553695e+01 +4.97315732e+00 +6.97554056e+00 +1.39306568e+01 +1.88967865e+01 +1.93910861e+00 +6.91321631e+00 +8.93773248e+00 +1.58393064e+01
+0.022 +9.89069745e-01 +5.94973832e+00 +7.95916535e+00 +1.48899487e+01 +1.97978432e+01 +7.57318375e+01 +4.97055416e+00 +6.97316332e+00 +1.39239482e+01 +1.88868682e+01 +1.93338789e+00 +6.90490055e+00 +8.93171969e+00 +1.58239449e+01
+0.023 +9.88062619e-01 +5.94510593e+00 +7.95538847e+00 +1.48798339e+01 +1.97796040e+01 +7.57072708e+01 +4.96783260e+00 +6.97067697e+00 +1.39169374e+01 +1.88765158e+01 +1.92744047e+00 +6.89622518e+00 +8.92543824e+00 +1.58079260e+01
+0.024 +9.87012372e-01 +5.94027499e+00 +7.95144728e+00 +1.48692905e+01 +1.97606520e+01 +7.56816773e+01 +4.96499298e+00 +6.96808172e+00 +1.39096258e+01 +1.88657328e+01 +1.92127123e+00 +6.88719373e+00 +8.91888961e+00 +1.57912570e+01
+0.025 +9.85919216e-01 +5.93524645e+00 +7.94734225e+00 +1.48583213e+01 +1.97409993e+01 +7.56550651e+01 +4.96203570e+00 +6.96537776e+00 +1.39020149e+01 +1.88545231e+01 +1.91488517e+00 +6.87780987e+00 +8.91207531e+00 +1.57739456e+01
+0.026 +9.84783369e-01 +5.93002129e+00 +7.94307385e+00 +1.48469290e+01 +1.97206581e+01 +7.56274427e+01 +4.95896113e+00 +6.96256531e+00 +1.38941060e+01 +1.88428904e+01 +1.90828740e+00 +6.86807736e+00 +8.90499691e+00 +1.57559997e+01
+0.027 +9.83605057e-01 +5.92460051e+00 +7.93864258e+00 +1.48351166e+01 +1.96996411e+01 +7.55988186e+01 +4.95576968e+00 +6.95964460e+00 +1.38859006e+01 +1.88308386e+01 +1.90148314e+00 +6.85800009e+00 +8.89765604e+00 +1.57374274e+01
+0.028 +9.82384516e-01 +5.91898516e+00 +7.93404895e+00 +1.48228871e+01 +1.96779611e+01 +7.55692018e+01 +4.95246178e+00 +6.95661585e+00 +1.38774003e+01 +1.88183720e+01 +1.89447767e+00 +6.84758205e+00 +8.89005438e+00 +1.57182370e+01
+0.029 +9.81121987e-01 +5.91317633e+00 +7.92929349e+00 +1.48102435e+01 +1.96556316e+01 +7.55386014e+01 +4.94903786e+00 +6.95347932e+00 +1.38686067e+01 +1.88054946e+01 +1.88727639e+00 +6.83682734e+00 +8.88219365e+00 +1.56984370e+01
+0.030 +9.79817720e-01 +5.90717513e+00 +7.92437676e+00 +1.47971889e+01 +1.96326659e+01 +7.55070269e+01 +4.94549837e+00 +6.95023524e+00 +1.38595214e+01 +1.87922108e+01 +1.87988473e+00 +6.82574015e+00 +8.87407566e+00 +1.56780363e+01
+0.031 +9.78471974e-01 +5.90098273e+00 +7.91929932e+00 +1.47837268e+01 +1.96090777e+01 +7.54744878e+01 +4.94184377e+00 +6.94688387e+00 +1.38501461e+01 +1.87785250e+01 +1.87230818e+00 +6.81432478e+00 +8.86570221e+00 +1.56570437e+01
